@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.Remove-R3-32-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R10

@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XABSOLDEV numeric
@attribute YABSOLDEV numeric
@attribute ZABSOLDEV numeric
@attribute XSTANDDEV numeric
@attribute YSTANDDEV numeric
@attribute ZSTANDDEV numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0,7.12,-0.07,11.22,8.14,4.19,12.87,8.99,12.87,Jogging
0,8.02,0.59,10.98,8.82,4.95,12.68,9.5,12.68,Jogging
0,7.75,-0.56,10.24,8.42,4.18,12.06,9.14,12.06,Jogging
0,7.42,-0.22,10.69,8.1,4.17,12.38,8.81,12.38,Jogging
0,7.76,-1.4,10.81,8.14,3.82,12.45,8.79,12.45,Jogging
0,7.09,-0.6,9.67,7.79,3.48,11.48,8.78,11.48,Jogging
0,7.58,0.17,9.46,7.92,3.84,11.21,8.76,11.21,Jogging
0,7.88,0,10.46,7.59,4.46,12.22,8.43,12.22,Jogging
0,7.93,-0.39,10.28,8.01,3.75,12.09,8.85,12.09,Jogging
0,8.17,-0.47,10.72,8.02,3.76,12.42,8.62,12.42,Jogging
0,6.14,0.29,10.58,7.45,4.55,12.27,8.56,12.27,Jogging
0,7.8,-0.57,10.99,8.28,4.12,12.53,9.06,12.53,Jogging
0,7.32,-0.57,10.54,7.77,3.85,12.13,8.55,12.13,Jogging
0,7.21,-0.13,10.74,7.12,3.7,12.45,8.15,12.45,Jogging
0,8.83,-0.74,10.86,7.7,3.79,12.56,8.45,12.56,Jogging
0,7.46,-0.03,10.54,7.16,4.22,12.28,8.08,12.28,Jogging
0,7.41,-0.06,10.64,7.41,3.86,12.08,8.26,12.08,Jogging
0,7.94,-0.38,9.91,7.02,2.89,11.68,8.02,11.68,Jogging
0,7.78,-0.51,10.01,7.58,3.57,11.73,8.41,11.73,Jogging
0,5.05,-0.08,6.08,4.84,2.14,11.17,9.13,11.17,Jogging
0,9.57,1.14,3.3,3.96,2.97,4.21,4.77,4.21,Walking
0,9.74,0.94,3.62,3.74,2.94,4.44,4.6,4.44,Walking
0,9.77,0.97,3.62,4.15,3.14,4.38,4.9,4.38,Walking
0,9.93,0.99,3.6,4.19,3.54,4.42,4.92,4.42,Walking
0,9.95,1.09,3.73,4.07,3.36,4.47,4.86,4.47,Walking
0,9.84,1.16,3.67,4.12,3.34,4.49,4.86,4.49,Walking
0,9.93,1.03,3.46,3.94,3.16,4.24,4.7,4.24,Walking
0,9.85,0.97,3.68,3.87,3.3,4.51,4.66,4.51,Walking
0,9.59,0.95,3.67,4.22,3.43,4.6,4.99,4.6,Walking
0,10.11,0.76,3.57,3.81,3.78,4.58,4.59,4.58,Walking
0,10.14,0.38,3.95,3.7,3.57,4.86,4.35,4.86,Walking
0,11.91,-0.18,4.77,3.13,3.87,5.88,3.64,5.88,Walking
0,11.33,-1.24,5.43,3.91,4.2,6.31,4.4,6.31,Walking
0,11.07,-1.02,5.62,4.17,4.16,6.46,4.5,6.46,Walking
0,9.82,0.04,4.62,4.52,3.59,5.64,4.98,5.64,Walking
0,10.65,0.42,3.59,3.57,3.78,4.43,4.33,4.43,Walking
0,11.54,-0.91,4.71,3.53,3.73,5.58,4.13,5.58,Walking
0,10.24,0.34,4.15,4.19,3.8,5.22,4.89,5.22,Walking
0,9.78,0.99,3.77,4.32,3.33,4.62,4.97,4.62,Walking
0,9.73,0.92,3.67,4.09,3.16,4.49,4.75,4.49,Walking
0,9.87,0.9,3.81,4.24,3.27,4.71,4.95,4.71,Walking
0,9.87,1.1,3.69,4.29,3.4,4.5,5.08,4.5,Walking
0,9.89,0.99,3.87,3.94,3.35,4.71,4.62,4.71,Walking
0,9.86,0.89,3.77,4.55,3.8,4.83,5.34,4.83,Walking
0,10.04,0.92,3.83,4.45,3.77,4.79,5.16,4.79,Walking
0,9.59,1.02,3.69,4.3,3.53,4.58,5.07,4.58,Walking
0,9.84,0.97,3.67,4.16,3.76,4.54,4.99,4.54,Walking
0,9.84,1.14,3.51,4.15,3.66,4.42,4.91,4.42,Walking
0,9.9,1.06,3.55,4.12,3.57,4.54,4.87,4.54,Walking
0,9.81,1.06,3.63,3.92,3.67,4.59,4.68,4.59,Walking
0,9.58,1.01,3.54,3.89,3.56,4.45,4.68,4.45,Walking
0,8.11,1.16,2.9,3.51,2.99,4.42,4.95,4.42,Walking
0,7.36,0.06,9.6,7.8,3.58,11.4,8.68,11.4,Jogging
0,7.38,-0.22,10.6,7.79,3.51,12.14,8.7,12.14,Jogging
0,6.24,0.34,10.16,7.69,3.74,11.91,8.61,11.91,Jogging
0,7.99,-0.4,10.68,8.04,3.93,12.43,8.71,12.43,Jogging
0,7.56,-0.17,10.14,7.85,3.77,11.76,8.63,11.76,Jogging
0,7.36,0.3,10.22,7.75,3.6,11.94,8.54,11.94,Jogging
0,6.72,0.89,10.06,7.61,4.3,11.72,8.42,11.72,Jogging
0,7.98,-0.64,11,8.1,4.03,12.69,8.83,12.69,Jogging
0,7.24,-1.46,9.9,8.18,3.67,11.69,8.9,11.69,Jogging
0,7.08,0.08,10.03,7.79,4.07,11.78,8.7,11.78,Jogging
0,7.72,-0.52,10.19,7.75,4.06,12.02,8.57,12.02,Jogging
0,8.09,-0.5,10.4,7.87,3.71,12.03,8.73,12.03,Jogging
0,7.01,-0.9,9.81,7.39,3.45,11.61,8.38,11.61,Jogging
0,7.05,0.48,9.47,7.6,3.36,11.24,8.54,11.24,Jogging
0,8.11,-0.49,9.74,7.6,3.39,11.61,8.33,11.61,Jogging
0,8,-0.23,10.59,8.13,4.06,12.27,8.85,12.27,Jogging
0,7.8,-0.6,10.36,7.3,3.78,12.18,8.13,12.18,Jogging
0,7.38,-0.73,10.5,7.52,3.75,12.27,8.53,12.27,Jogging
0,7.31,-0.21,10.09,7.85,3.62,11.81,8.84,11.81,Jogging
0,6.93,-0.35,9.21,7.76,3.25,11.1,8.61,11.1,Jogging
0,7.42,0.09,9.54,7.85,3.63,11.38,8.64,11.38,Jogging
0,8.09,-0.55,9.8,7.94,3.48,11.65,8.59,11.65,Jogging
0,7.21,0.85,11.4,7.55,4.59,13,8.48,13,Jogging
0,7.88,0.09,10.42,8.02,3.64,12.07,8.74,12.07,Jogging
0,7.96,0.39,10.54,8.01,4.14,12.18,8.75,12.18,Jogging
0,6.89,-0.16,9.66,7.44,3.81,11.54,8.41,11.54,Jogging
0,7.51,-0.3,9.85,8.16,3.76,11.67,8.95,11.67,Jogging
0,2.38,-0.21,2.97,2.7,1.17,10.49,10.03,10.49,Jogging
0,8.81,2.69,1.69,2.96,1.9,2.23,3.84,2.23,Upstairs
0,9.36,2.66,1.6,2.91,2.18,2.24,3.85,2.24,Upstairs
0,9.08,2.39,1.37,2.86,2.09,1.83,3.78,1.83,Upstairs
0,9.27,2.5,1.34,3.02,2.04,1.9,4.08,1.9,Upstairs
0,9.12,2.93,1.34,2.77,2.17,1.87,3.64,1.87,Upstairs
0,5.82,2.11,0.94,2.72,1.41,1.89,4.62,1.89,Upstairs
0,8.94,0.86,4.41,2.74,1.89,5.22,3.47,5.22,Downstairs
0,8.96,0.97,4.57,2.95,2.05,5.29,3.71,5.29,Downstairs
0,8.91,0.76,4.62,2.92,1.96,5.36,3.66,5.36,Downstairs
0,8.84,0.71,4.77,2.95,2.03,5.61,3.71,5.61,Downstairs
0,8.86,0.68,4.67,3.13,1.93,5.5,3.9,5.5,Downstairs
0,5.23,0.73,3.02,2.44,1.27,5.93,5.58,5.93,Downstairs
0,8.87,2.71,2.23,2.81,2.14,2.76,3.78,2.76,Upstairs
0,9.06,2.23,1.86,3.06,1.97,2.39,3.91,2.39,Upstairs
0,9.22,2.59,1.66,2.66,2.1,2.22,3.67,2.22,Upstairs
0,8.84,2.67,1.65,2.78,2.02,2.08,3.65,2.08,Upstairs
0,9.15,2.65,1.8,2.89,2.01,2.32,3.82,2.32,Upstairs
0,9.08,2.26,1.58,3.21,1.93,2.23,4.14,2.23,Upstairs
0,2.15,0.5,0.26,1.67,0.55,1.57,7.88,1.57,Upstairs
0,9.35,2.57,2.48,3.2,2.42,3.14,3.97,3.14,Downstairs
0,9.45,2.44,2.03,3.25,2.75,2.61,4.09,2.61,Downstairs
0,9.52,2.69,1.91,3.25,2.74,2.41,4.19,2.41,Downstairs
0,9.29,2.78,1.75,3.48,2.86,2.23,4.35,2.23,Downstairs
0,9.5,2.57,1.72,3.73,2.87,2.2,4.57,2.2,Downstairs
0,7.52,2.35,1.41,2.69,2.25,2.22,4.51,2.22,Downstairs
0,9.13,2.8,1.25,3.25,1.99,1.76,4.14,1.76,Upstairs
0,9.43,2.54,1.25,3.01,2.14,1.89,3.94,1.89,Upstairs
0,9.1,2.74,1.36,2.95,2.02,1.97,3.89,1.97,Upstairs
0,9.3,2.97,1.31,2.7,1.99,1.72,3.72,1.72,Upstairs
0,9,2.84,1.29,2.9,2.12,1.85,3.85,1.85,Upstairs
0,7.84,2.56,1.24,2.92,1.81,2.05,4.18,2.05,Upstairs
0,9.35,2.99,1.64,3.23,2.58,2.13,4.09,2.13,Downstairs
0,9.45,3.29,1.87,3.48,2.99,2.41,4.37,2.41,Downstairs
0,9.32,2.77,1.84,3.09,2.72,2.37,3.99,2.37,Downstairs
0,9.34,2.93,1.87,3.26,2.73,2.36,4.11,2.36,Downstairs
0,9.29,2.55,1.87,3.09,2.86,2.44,4.06,2.44,Downstairs
0,9.14,2.75,1.81,2.81,2.61,2.28,3.81,2.28,Downstairs
0,0.03,0.01,0.01,0.03,0.01,2.56,6.01,2.56,Downstairs
0,9.17,2.8,1.18,2.78,1.93,1.65,3.6,1.65,Upstairs
0,9.09,2.79,1.23,2.92,1.97,1.82,3.84,1.82,Upstairs
0,9.14,2.88,1.39,2.98,2.19,1.94,4.02,1.94,Upstairs
0,9.21,2.79,1.28,2.93,2.02,1.83,3.86,1.83,Upstairs
0,9.1,2.66,1.42,2.97,2.04,2.11,3.92,2.11,Upstairs
0,7.58,2.31,1.04,3.1,1.63,1.7,4.44,1.7,Upstairs
0,9.46,2.98,1.7,3.22,2.71,2.16,4.11,2.16,Downstairs
0,9.4,2.94,1.76,3.46,2.9,2.46,4.37,2.46,Downstairs
0,9.35,2.88,1.76,3.34,2.91,2.28,4.24,2.28,Downstairs
0,9.59,2.78,1.93,3.39,2.97,2.55,4.3,2.55,Downstairs
0,9.28,3,1.92,3.67,3.21,2.51,4.6,2.51,Downstairs
0,6.13,2.01,1.34,2.92,2.17,2.65,5.77,2.65,Downstairs
0,9.38,2.56,1.73,2.78,1.67,2.19,3.55,2.19,Downstairs
0,9.49,2.52,1.54,2.82,1.54,2.06,3.47,2.06,Downstairs
0,9.39,2.66,1.41,2.63,1.47,1.84,3.28,1.84,Downstairs
0,9.44,2.76,1.34,2.58,1.39,1.76,3.16,1.76,Downstairs
0,9.26,2.73,1.27,2.63,1.37,1.66,3.28,1.66,Downstairs
0,9.45,2.66,1.26,2.73,1.39,1.65,3.36,1.65,Downstairs
0,9.43,2.72,1.39,2.81,1.43,1.75,3.57,1.75,Downstairs
0,9.32,2.83,1.26,2.54,1.63,1.59,3.26,1.59,Downstairs
0,9.65,2.68,1.31,3.03,1.64,1.66,3.72,1.66,Downstairs
0,9.44,2.73,1.45,2.92,1.53,1.77,3.65,1.77,Downstairs
0,9.3,2.76,1.46,2.67,1.49,1.83,3.4,1.83,Downstairs
0,5.05,1.53,0.74,2.39,1.14,1.76,5.35,1.76,Downstairs
0,9.61,1.77,1.79,3.63,1.84,2.2,4.36,2.2,Walking
0,9.62,2.03,1.64,3.58,2.06,2.1,4.32,2.1,Walking
0,9.69,1.96,1.87,3.33,1.92,2.32,3.97,2.32,Walking
0,9.69,1.8,1.81,3.26,1.92,2.31,3.89,2.31,Walking
0,9.56,1.97,1.88,3.53,2.12,2.54,4.21,2.54,Walking
0,9.11,1.83,1.69,3.52,1.96,2.33,4.15,2.33,Walking
0,9.56,1.81,1.88,3.17,1.83,2.57,3.82,2.57,Walking
0,9.45,2.03,1.99,3.46,2.12,2.64,4.07,2.64,Walking
0,9.59,1.94,2,3.31,1.94,2.66,3.99,2.66,Walking
0,9.46,1.9,2.02,3.26,1.99,2.75,3.92,2.75,Walking
0,9.52,1.79,2.06,3.47,1.91,2.76,4.15,2.76,Walking
0,9.57,1.98,1.94,3.46,2.04,2.59,4.14,2.59,Walking
0,9.61,2.02,2.04,3.46,2.17,2.71,4.18,2.71,Walking
0,9.56,1.94,2.07,3.57,2.06,2.86,4.24,2.86,Walking
0,9.52,1.87,2.1,3.49,1.95,2.8,4.23,2.8,Walking
0,9.52,2.03,2.05,3.26,2.12,2.79,3.97,2.79,Walking
0,9.56,2.02,1.93,3.35,1.98,2.63,3.99,2.63,Walking
0,9.49,1.99,2.06,3.29,1.95,2.74,3.99,2.74,Walking
0,9.56,2.04,2.23,3.32,2.11,2.94,3.98,2.94,Walking
0,9.57,1.94,2.15,3.45,2.11,2.84,4.13,2.84,Walking
0,9.59,1.87,2.15,3.33,1.92,2.85,4.01,2.85,Walking
0,9.51,2,2.07,3.48,2.11,2.76,4.14,2.76,Walking
0,9.46,1.84,2.12,3.56,2.01,2.85,4.27,2.85,Walking
0,9.51,1.97,2.05,3.38,1.95,2.74,4.12,2.74,Walking
0,9.54,1.91,2.07,3.37,1.95,2.82,4.09,2.82,Walking
0,9.7,2.04,2.11,3.42,2.13,2.79,4.08,2.79,Walking
0,9.55,1.85,2.09,3.43,2,2.84,4.12,2.84,Walking
0,9.64,1.76,2.16,3.79,1.99,2.95,4.52,2.95,Walking
0,9.37,1.84,2.13,3.63,1.98,2.84,4.35,2.84,Walking
0,9.63,1.92,2.1,3.26,2.08,2.8,3.93,2.8,Walking
0,9.61,1.77,2.12,3.34,2.05,2.84,4,2.84,Walking
0,9.52,1.92,2.3,3.49,2.17,2.96,4.24,2.96,Walking
0,9.36,1.8,2.25,3.75,2.36,2.9,4.55,2.9,Walking
0,9.64,1.85,2.15,3.6,2.09,2.87,4.28,2.87,Walking
0,9.6,1.92,2.18,3.22,1.96,2.81,3.89,2.81,Walking
0,9.65,1.9,2.07,3.1,1.96,2.72,3.74,2.72,Walking
0,9.53,1.88,1.97,3.09,1.87,2.62,3.71,2.62,Walking
0,9.5,1.64,2.09,3,1.78,2.69,3.7,2.69,Walking
0,9.49,1.43,2.19,3.3,1.95,2.56,3.96,2.56,Walking
0,9.65,1.59,2.02,3.3,1.99,2.4,4.03,2.4,Walking
0,9.48,1.45,2,3.53,2.04,2.42,4.21,2.42,Walking
0,9.65,1.32,2.12,3.6,2.09,2.54,4.38,2.54,Walking
0,9.57,1.48,1.92,3.52,1.97,2.35,4.22,2.35,Walking
0,9.57,1.33,2.02,3.56,2,2.52,4.27,2.52,Walking
0,9.64,1.41,1.97,3.73,2.06,2.36,4.53,2.36,Walking
0,9.83,1.44,1.95,3.53,2.12,2.37,4.25,2.37,Walking
0,9.61,1.47,1.97,3.56,2.06,2.48,4.26,2.48,Walking
0,9.69,1.39,2.05,3.67,2.11,2.51,4.39,2.51,Walking
0,9.74,1.49,2.03,3.74,1.97,2.57,4.49,2.57,Walking
0,9.56,1.42,1.93,3.43,1.88,2.39,4.15,2.39,Walking
0,9.8,1.83,1.92,3.77,2.29,2.39,4.47,2.39,Walking
0,9.76,1.51,2.17,3.63,2.12,2.7,4.34,2.7,Walking
0,9.6,1.52,2.16,3.8,2.23,2.67,4.51,2.67,Walking
0,9.56,1.39,1.99,3.5,2.02,2.43,4.25,2.43,Walking
0,9.74,1.47,1.87,3.44,1.93,2.27,4.15,2.27,Walking
0,9.74,1.56,1.99,3.37,1.9,2.43,4.02,2.43,Walking
0,9.64,1.61,1.93,3.42,2.11,2.48,4.12,2.48,Walking
0,9.64,1.63,1.95,3.63,2.02,2.45,4.32,2.45,Walking
0,9.69,1.74,1.95,3.3,2.06,2.55,3.95,2.55,Walking
0,9.66,1.53,2.1,3.48,2.15,2.67,4.19,2.67,Walking
0,9.72,1.37,2.2,3.67,2.24,2.81,4.46,2.81,Walking
0,9.45,1.49,2.33,4.27,2.37,2.93,5.02,2.93,Walking
0,9.58,1.35,2.3,4.12,2.32,2.81,4.92,2.81,Walking
0,9.64,1.38,2.36,3.84,2.3,2.99,4.6,2.99,Walking
0,9.72,1.5,2.41,3.7,2.3,3.11,4.41,3.11,Walking
0,9.74,1.52,2.2,3.5,2.08,2.82,4.22,2.82,Walking
0,9.52,1.53,2.16,3.82,2.27,2.83,4.59,2.83,Walking
0,8.17,1.44,1.83,3.06,2.26,2.73,4.21,2.73,Walking
0,9.42,-1.29,5.03,3.28,2.9,6.22,4.29,6.22,Walking
0,9.08,-1.45,5.57,3.21,2.9,6.71,4.28,6.71,Walking
0,8.74,-1.14,5.84,3.24,3.07,7.05,4.24,7.05,Walking
0,8.98,-1.08,5.74,3.28,2.95,6.86,4.29,6.86,Walking
0,8.95,-1.08,5.59,3,2.67,6.77,3.98,6.77,Walking
0,9.12,-1.26,5.54,3.16,2.59,6.64,4.11,6.64,Walking
0,8.75,-1.11,5.6,3.19,2.55,6.64,4.16,6.64,Walking
0,8.74,-1.11,5.73,3.46,3.03,6.84,4.37,6.84,Walking
0,8.75,-0.92,5.89,3.04,2.78,6.92,3.98,6.92,Walking
0,8.84,-0.74,5.93,3.42,3.04,7.07,4.43,7.07,Walking
0,8.81,-0.79,5.74,3.11,3.06,6.97,4.17,6.97,Walking
0,9.01,-1.17,5.7,3.27,2.89,6.95,4.33,6.95,Walking
0,9.03,-0.88,5.69,3.17,2.8,6.88,4.17,6.88,Walking
0,8.86,-0.86,5.58,3.13,2.73,6.77,4.19,6.77,Walking
0,9.02,-0.96,5.72,3.09,2.65,6.82,4.03,6.82,Walking
0,8.91,-0.98,5.8,3.11,2.6,6.95,4.14,6.95,Walking
0,8.8,-1.14,5.71,2.91,2.53,6.8,4,6.8,Walking
0,8.94,-1.03,5.85,2.89,2.9,7.07,3.94,7.07,Walking
0,8.82,-0.94,5.84,3.14,2.99,7,4.15,7,Walking
